open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1771518900000,2026-02-19 16:35:00 UTC,66499.33000000,66508.05000000,66316.58000000,66492.90000000,54.23157000,1771519199999,2026-02-19 16:39:59 UTC,3601891.25878540,25069,23.92387000,1589041.90185270
1771519200000,2026-02-19 16:40:00 UTC,66492.91000000,66514.95000000,66416.10000000,66416.11000000,42.71191000,1771519499999,2026-02-19 16:44:59 UTC,2839599.17413550,22446,17.88174000,1188782.39833140
1771519500000,2026-02-19 16:45:00 UTC,66416.10000000,66473.70000000,66287.37000000,66325.13000000,76.63063000,1771519799999,2026-02-19 16:49:59 UTC,5086973.21220740,25903,27.11510000,1799746.46361040
1771519800000,2026-02-19 16:50:00 UTC,66325.13000000,66434.77000000,66188.00000000,66425.32000000,75.71183000,1771520099999,2026-02-19 16:54:59 UTC,5019558.13601730,33143,34.39626000,2280617.60748220
1771520100000,2026-02-19 16:55:00 UTC,66425.32000000,66444.00000000,66272.87000000,66293.53000000,49.53190000,1771520399999,2026-02-19 16:59:59 UTC,3285935.03819050,21171,13.37559000,887427.99440180
1771520400000,2026-02-19 17:00:00 UTC,66293.53000000,66410.31000000,66266.60000000,66396.35000000,36.54679000,1771520699999,2026-02-19 17:04:59 UTC,2423948.33181300,22055,18.16075000,1204428.14379790
1771520700000,2026-02-19 17:05:00 UTC,66396.36000000,66467.54000000,66325.15000000,66325.15000000,38.23103000,1771520999999,2026-02-19 17:09:59 UTC,2539166.23719750,22995,21.00475000,1394982.42795420
1771521000000,2026-02-19 17:10:00 UTC,66325.15000000,66682.30000000,66325.15000000,66660.76000000,122.01369000,1771521299999,2026-02-19 17:14:59 UTC,8122990.56892160,25112,92.32193000,6146531.99579030
1771521300000,2026-02-19 17:15:00 UTC,66660.77000000,67049.99000000,66570.13000000,66971.17000000,183.13002000,1771521599999,2026-02-19 17:19:59 UTC,12250532.37266530,44004,123.25913000,8246094.46334360
1771521600000,2026-02-19 17:20:00 UTC,66971.16000000,66971.16000000,66839.14000000,66840.70000000,92.33332000,1771521899999,2026-02-19 17:24:59 UTC,6177938.94136660,32042,29.85430000,1997619.91168090
1771521900000,2026-02-19 17:25:00 UTC,66840.70000000,66840.70000000,66595.00000000,66621.45000000,60.28795000,1771522199999,2026-02-19 17:29:59 UTC,4021917.50726670,23181,21.43105000,1429050.03854700
1771522200000,2026-02-19 17:30:00 UTC,66621.44000000,66660.68000000,66508.10000000,66522.92000000,48.34259000,1771522499999,2026-02-19 17:34:59 UTC,3218577.27831840,27474,20.08285000,1337147.50165060
1771522500000,2026-02-19 17:35:00 UTC,66522.92000000,66609.90000000,66483.01000000,66508.10000000,44.37064000,1771522799999,2026-02-19 17:39:59 UTC,2951869.09698310,26133,23.06361000,1534325.00372670
1771522800000,2026-02-19 17:40:00 UTC,66508.11000000,66726.38000000,66508.11000000,66609.81000000,39.68057000,1771523099999,2026-02-19 17:44:59 UTC,2643892.26580610,20241,25.58871000,1704887.44666070
1771523100000,2026-02-19 17:45:00 UTC,66609.80000000,66665.59000000,66404.00000000,66445.59000000,45.94985000,1771523399999,2026-02-19 17:49:59 UTC,3058677.80809670,25072,16.46566000,1096489.37092100
1771523400000,2026-02-19 17:50:00 UTC,66445.60000000,66531.16000000,66173.15000000,66210.93000000,150.83049000,1771523699999,2026-02-19 17:54:59 UTC,10002801.57728400,34960,46.23813000,3067950.25798470
1771523700000,2026-02-19 17:55:00 UTC,66210.93000000,66371.63000000,66210.93000000,66369.42000000,37.32368000,1771523999999,2026-02-19 17:59:59 UTC,2475105.13038960,19475,23.76184000,1575641.24673180
1771524000000,2026-02-19 18:00:00 UTC,66369.42000000,66381.74000000,66257.55000000,66269.93000000,45.08104000,1771524299999,2026-02-19 18:04:59 UTC,2989291.27648650,23996,23.98309000,1590193.78242090
1771524300000,2026-02-19 18:05:00 UTC,66269.93000000,66470.36000000,66228.49000000,66397.58000000,57.72123000,1771524599999,2026-02-19 18:09:59 UTC,3830294.32424360,21488,34.20269000,2269557.29676120
1771524600000,2026-02-19 18:10:00 UTC,66397.57000000,66649.39000000,66339.98000000,66639.09000000,92.92158000,1771524899999,2026-02-19 18:14:59 UTC,6180182.28743390,23444,65.26851000,4341865.27985370
1771524900000,2026-02-19 18:15:00 UTC,66639.10000000,66639.10000000,66522.60000000,66562.64000000,39.16174000,1771525199999,2026-02-19 18:19:59 UTC,2607688.67080030,18459,17.19138000,1144758.58614990
1771525200000,2026-02-19 18:20:00 UTC,66562.64000000,66845.61000000,66467.55000000,66821.95000000,77.08649000,1771525499999,2026-02-19 18:24:59 UTC,5138209.23790730,27086,38.96380000,2598203.33316520
1771525500000,2026-02-19 18:25:00 UTC,66821.95000000,66916.00000000,66821.94000000,66903.70000000,44.66629000,1771525799999,2026-02-19 18:29:59 UTC,2987535.33543720,23012,24.47204000,1636747.29296030
1771525800000,2026-02-19 18:30:00 UTC,66903.69000000,66946.33000000,66714.28000000,66726.18000000,93.71719000,1771526099999,2026-02-19 18:34:59 UTC,6265506.21405860,34213,21.30679000,1423998.48528150
